[02:10:04] === bench-spark run ===
[02:10:04] Profile: dense-31b
[02:10:04] Tests:   A B C D E F G H I J
[02:10:04] Results: /home/eugene/benchmarks/bench-spark/results/gemma-4-31b-it/bf16
[02:10:04] ── START A ──
[04:59:51]     ... C running: 420s, GPU 96%
[05:00:51]     ... C running: 480s, GPU 96%
[05:01:51]     ... C running: 540s, GPU 96%
[05:02:51]     ... C running: 600s, GPU 96%
[05:03:51]     ... C running: 660s, GPU 96%
[05:04:51]     ... C running: 720s, GPU 96%
[05:05:51]     ... C running: 780s, GPU 96%
[05:06:52]     ... C running: 841s, GPU 96%
[05:07:52]     ... C running: 901s, GPU 96%
[05:08:52]     ... C running: 961s, GPU 96%
[05:09:52]     ... C running: 1021s, GPU 96%
[05:10:52]     ... C running: 1081s, GPU 96%
[05:11:52]     ... C running: 1141s, GPU 96%
[05:12:52]     ... C running: 1201s, GPU 96%
[05:13:52]     ... C running: 1261s, GPU 96%
[05:14:52]     ... C running: 1321s, GPU 96%
[05:15:44] ── END C (1373s) ──
[05:15:44] ── START D ──
[05:16:44]     ... D running: 60s, GPU 96%
[05:17:44]     ... D running: 120s, GPU 96%
[05:18:45]     ... D running: 181s, GPU 96%
[05:19:45]     ... D running: 241s, GPU 96%
[05:20:45]     ... D running: 301s, GPU 96%
[05:21:45]     ... D running: 361s, GPU 96%
[05:22:45]     ... D running: 421s, GPU 96%
[05:23:45]     ... D running: 481s, GPU 96%
[05:24:45]     ... D running: 541s, GPU 96%
[05:25:45]     ... D running: 601s, GPU 96%
[05:26:45]     ... D running: 661s, GPU 96%
[05:27:45]     ... D running: 721s, GPU 96%
[05:28:45]     ... D running: 781s, GPU 96%
[05:29:45]     ... D running: 841s, GPU 96%
[05:30:45]     ... D running: 901s, GPU 96%
[05:31:45]     ... D running: 961s, GPU 96%
[05:32:45]     ... D running: 1021s, GPU 96%
[05:33:45]     ... D running: 1081s, GPU 96%
[05:34:45]     ... D running: 1141s, GPU 96%
[05:35:45]     ... D running: 1201s, GPU 96%
[05:36:46]     ... D running: 1261s, GPU 96%
[05:37:46]     ... D running: 1322s, GPU 96%
[05:38:46]     ... D running: 1382s, GPU 96%
[05:39:46]     ... D running: 1442s, GPU 96%
[05:40:46]     ... D running: 1502s, GPU 96%
[05:41:46]     ... D running: 1562s, GPU 96%
[05:42:46]     ... D running: 1622s, GPU 96%
[05:43:46]     ... D running: 1682s, GPU 96%
[05:44:46]     ... D running: 1742s, GPU 96%
[05:45:46]     ... D running: 1802s, GPU 96%
[05:46:46]     ... D running: 1862s, GPU 96%
[05:47:46]     ... D running: 1922s, GPU 96%
[05:48:46]     ... D running: 1982s, GPU 96%
[05:49:46]     ... D running: 2042s, GPU 96%
[05:50:46]     ... D running: 2102s, GPU 96%
[05:51:46]     ... D running: 2162s, GPU 96%
[05:52:46]     ... D running: 2222s, GPU 96%
[05:53:46]     ... D running: 2282s, GPU 96%
[05:54:46]     ... D running: 2342s, GPU 96%
[05:55:46]     ... D running: 2402s, GPU 96%
[05:56:47]     ... D running: 2463s, GPU 96%
[05:57:47]     ... D running: 2523s, GPU 96%
[05:58:47]     ... D running: 2583s, GPU 96%
[05:59:47]     ... D running: 2643s, GPU 96%
[06:00:47]     ... D running: 2703s, GPU 96%
[06:01:47]     ... D running: 2763s, GPU 96%
[06:02:47]     ... D running: 2823s, GPU 96%
[06:03:47]     ... D running: 2883s, GPU 96%
[06:04:47]     ... D running: 2943s, GPU 96%
[06:05:37] ── END D (2993s) ──
[06:05:37] ── START E ──
[06:06:37]     ... E running: 60s, GPU 96%
[06:07:37]     ... E running: 120s, GPU 96%
[06:08:37]     ... E running: 180s, GPU 96%
[06:09:37]     ... E running: 240s, GPU 96%
[06:10:37]     ... E running: 300s, GPU 96%
[06:11:37]     ... E running: 360s, GPU 96%
[06:12:37]     ... E running: 420s, GPU 96%
[06:13:38]     ... E running: 481s, GPU 96%
[06:14:38]     ... E running: 541s, GPU 96%
[06:15:38]     ... E running: 601s, GPU 96%
[06:16:38]     ... E running: 661s, GPU 96%
[06:17:38]     ... E running: 721s, GPU 96%
[06:18:38]     ... E running: 781s, GPU 96%
[06:19:38]     ... E running: 841s, GPU 96%
[06:20:38]     ... E running: 901s, GPU 96%
[06:21:38]     ... E running: 961s, GPU 96%
[06:22:38]     ... E running: 1021s, GPU 96%
[06:23:38]     ... E running: 1081s, GPU 96%
[06:24:38]     ... E running: 1141s, GPU 96%
[06:25:38]     ... E running: 1201s, GPU 96%
[06:25:49] ── END E (1212s) ──
[06:25:49] ── START F ──
