[01:57:16] === bench-spark run ===
[01:57:16] Profile: nemotron-3-super-120b-a12b-nvfp4
[01:57:16] Tests:   A B C D E F G H I J
[01:57:16] Results: /home/spark/benchmarks/bench-spark/results/nemotron-3-super-120b-a12b/nvfp4
[04:35:46]     ... H running: 540s, GPU 96%
[04:36:46]     ... H running: 600s, GPU 96%
[04:37:46]     ... H running: 660s, GPU 96%
[04:38:46]     ... H running: 720s, GPU 96%
[04:39:47]     ... H running: 781s, GPU 96%
[04:40:47]     ... H running: 841s, GPU 96%
[04:41:47]     ... H running: 901s, GPU 96%
[04:42:47]     ... H running: 961s, GPU 96%
[04:43:47]     ... H running: 1021s, GPU 96%
[04:44:47]     ... H running: 1081s, GPU 96%
[04:45:47]     ... H running: 1141s, GPU 96%
[04:46:47]     ... H running: 1201s, GPU 96%
[04:47:26] ── END H (1240s) ──
[04:47:26] ── START I ──
[04:47:26] Kopieer ShareGPT naar container...
[04:48:26]     ... I running: 60s, GPU 79%
[04:49:26]     ... I running: 120s, GPU 96%
[04:50:26]     ... I running: 180s, GPU 96%
[04:51:26]     ... I running: 240s, GPU 94%
[04:52:26]     ... I running: 300s, GPU 96%
[04:53:26]     ... I running: 360s, GPU 96%
[04:54:26]     ... I running: 420s, GPU 96%
[04:55:26]     ... I running: 480s, GPU 18%
[04:56:26]     ... I running: 540s, GPU 96%
[04:57:26]     ... I running: 600s, GPU 96%
[04:58:26]     ... I running: 660s, GPU 48%
[04:59:27]     ... I running: 721s, GPU 96%
[05:00:27]     ... I running: 781s, GPU 0%
[05:01:27]     ... I running: 841s, GPU 96%
[05:02:04] ── END I (878s) ──
[05:02:04] ── START J ──
[05:03:04]     ... J running: 60s, GPU 96%
[05:04:04]     ... J running: 120s, GPU 96%
[05:05:04]     ... J running: 180s, GPU 96%
[05:06:04]     ... J running: 240s, GPU 96%
[05:07:04]     ... J running: 300s, GPU 1%
[05:08:04]     ... J running: 360s, GPU 96%
[05:09:05]     ... J running: 421s, GPU 96%
[05:10:05]     ... J running: 481s, GPU 96%
[05:11:05]     ... J running: 541s, GPU 96%
[05:12:05]     ... J running: 601s, GPU 96%
[05:13:05]     ... J running: 661s, GPU 96%
[05:14:05]     ... J running: 721s, GPU 96%
[05:15:05]     ... J running: 781s, GPU 96%
[05:16:05]     ... J running: 841s, GPU 96%
[05:17:05]     ... J running: 901s, GPU 96%
[05:18:05]     ... J running: 961s, GPU 96%
[05:19:05]     ... J running: 1021s, GPU 96%
[05:20:05]     ... J running: 1081s, GPU 96%
[05:21:05]     ... J running: 1141s, GPU 96%
[05:22:05]     ... J running: 1201s, GPU 96%
[05:23:05]     ... J running: 1261s, GPU 96%
[05:24:05]     ... J running: 1321s, GPU 96%
[05:25:06]     ... J running: 1382s, GPU 96%
[05:26:06]     ... J running: 1442s, GPU 96%
[05:27:06]     ... J running: 1502s, GPU 96%
[05:28:06]     ... J running: 1562s, GPU 96%
[05:29:06]     ... J running: 1622s, GPU 96%
[05:30:06]     ... J running: 1682s, GPU 96%
[05:31:06]     ... J running: 1742s, GPU 94%
[05:32:06]     ... J running: 1802s, GPU 96%
[05:33:06]     ... J running: 1862s, GPU 96%
[05:33:36] ── END J (1892s) ──
[05:33:36] === klaar (12980s = 216m) ===
