[17:55:20] === bench-spark run ===
[17:55:20] Profile: qwen3.6-27b-fp8
[17:55:20] Tests:   01 02 03 04 05 06 07 08 09 10 11
[17:55:20] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.6-27b/fp8
[17:55:24] Sanity-check op modeloutput...
[17:55:57] SANITY: OK, model antwoordt: 1, 2, 3, 4, 5 In het Nederlands We need to count from 1 to 5 in Dutch.
[17:55:57] ── START 01 ──
[20:33:38]     ... 03 running: 5047s, GPU 96%, 37.13W, 66C, 2489MHz
[20:34:38]     ... 03 running: 5107s, GPU 96%, 37.10W, 66C, 2489MHz
[20:35:39]     ... 03 running: 5168s, GPU 96%, 36.85W, 66C, 2489MHz
[20:36:39]     ... 03 running: 5228s, GPU 96%, 40.16W, 67C, 2489MHz
[20:37:40]     ... 03 running: 5289s, GPU 96%, 40.21W, 67C, 2489MHz
[20:38:40]     ... 03 running: 5349s, GPU 96%, 40.25W, 67C, 2489MHz
[20:39:40]     ... 03 running: 5409s, GPU 96%, 40.38W, 67C, 2489MHz
[20:40:31]     ... 03 running: 5460s, GPU 96%, 37.90W, 67C, 2489MHz
[20:41:31]     ... 03 running: 5520s, GPU 96%, 37.63W, 66C, 2489MHz
[20:42:32]     ... 03 running: 5581s, GPU 96%, 37.53W, 66C, 2489MHz
[20:43:32]     ... 03 running: 5641s, GPU 96%, 37.14W, 66C, 2489MHz
[20:44:33]     ... 03 running: 5702s, GPU 96%, 37.11W, 66C, 2489MHz
[20:45:19] ── END 03 (5748s) ──
[20:45:19] ── START 04 ──
[20:46:19]     ... 04 running: 60s, GPU 96%, 37.87W, 66C, 2496MHz
[20:47:20]     ... 04 running: 121s, GPU 96%, 37.90W, 66C, 2496MHz
[20:48:20]     ... 04 running: 181s, GPU 96%, 37.91W, 66C, 2496MHz
[20:49:21]     ... 04 running: 242s, GPU 96%, 37.99W, 67C, 2496MHz
[20:50:21]     ... 04 running: 302s, GPU 96%, 54.95W, 73C, 2470MHz
[20:51:22]     ... 04 running: 363s, GPU 96%, 37.63W, 67C, 2489MHz
[20:52:22]     ... 04 running: 423s, GPU 96%, 37.74W, 67C, 2489MHz
[20:53:23]     ... 04 running: 484s, GPU 96%, 38.00W, 68C, 2489MHz
[20:54:23]     ... 04 running: 544s, GPU 96%, 61.96W, 73C, 2470MHz
[20:55:24]     ... 04 running: 605s, GPU 96%, 37.76W, 67C, 2489MHz
[20:56:24]     ... 04 running: 665s, GPU 96%, 41.12W, 70C, 2489MHz
[20:57:25]     ... 04 running: 726s, GPU 96%, 61.80W, 74C, 2470MHz
[20:58:25]     ... 04 running: 786s, GPU 96%, 41.07W, 70C, 2489MHz
[20:59:26]     ... 04 running: 847s, GPU 96%, 63.01W, 77C, 2470MHz
[21:00:26]     ... 04 running: 907s, GPU 96%, 40.93W, 70C, 2489MHz
[21:01:27]     ... 04 running: 968s, GPU 96%, 41.46W, 71C, 2489MHz
[21:02:20] ── END 04 (1021s) ──
[21:02:20] ── START 05 ──
[21:03:21]     ... 05 running: 61s, GPU 96%, 43.25W, 69C, 2496MHz
[21:04:21]     ... 05 running: 121s, GPU 96%, 38.41W, 68C, 2496MHz
[21:05:22]     ... 05 running: 182s, GPU 96%, 62.25W, 76C, 2470MHz
[21:06:22]     ... 05 running: 242s, GPU 96%, 62.59W, 74C, 2470MHz
[21:07:23]     ... 05 running: 303s, GPU 96%, 62.66W, 74C, 2470MHz
[21:08:23]     ... 05 running: 363s, GPU 96%, 62.26W, 73C, 2470MHz
[21:09:24]     ... 05 running: 424s, GPU 96%, 38.19W, 70C, 2489MHz
[21:10:24]     ... 05 running: 484s, GPU 96%, 63.46W, 79C, 2463MHz
[21:11:25]     ... 05 running: 545s, GPU 96%, 63.97W, 78C, 2470MHz
[21:12:25]     ... 05 running: 605s, GPU 96%, 42.01W, 73C, 2470MHz
[21:13:26]     ... 05 running: 666s, GPU 96%, 65.10W, 81C, 2450MHz
[21:14:27]     ... 05 running: 727s, GPU 96%, 62.85W, 75C, 2470MHz
[21:15:27]     ... 05 running: 787s, GPU 96%, 41.47W, 71C, 2489MHz
[21:16:28]     ... 05 running: 848s, GPU 96%, 38.10W, 66C, 2496MHz
[21:17:28]     ... 05 running: 908s, GPU 96%, 61.35W, 73C, 2476MHz
[21:18:29]     ... 05 running: 969s, GPU 96%, 39.06W, 70C, 2496MHz
[21:19:29]     ... 05 running: 1029s, GPU 96%, 63.76W, 77C, 2470MHz
[21:20:20]     ... 05 running: 1080s, GPU 96%, 38.99W, 71C, 2489MHz
[21:21:20]     ... 05 running: 1140s, GPU 96%, 63.96W, 79C, 2470MHz
[21:22:21]     ... 05 running: 1201s, GPU 96%, 63.36W, 78C, 2470MHz
[21:23:21]     ... 05 running: 1261s, GPU 96%, 39.19W, 71C, 2489MHz
[21:24:22]     ... 05 running: 1322s, GPU 96%, 63.02W, 75C, 2470MHz
[21:25:22]     ... 05 running: 1382s, GPU 96%, 62.21W, 73C, 2470MHz
[21:26:23]     ... 05 running: 1443s, GPU 96%, 63.11W, 74C, 2470MHz
[21:27:24]     ... 05 running: 1504s, GPU 96%, 41.48W, 70C, 2489MHz
[21:28:24]     ... 05 running: 1564s, GPU 96%, 62.33W, 72C, 2470MHz
[21:29:25]     ... 05 running: 1625s, GPU 96%, 62.75W, 74C, 2470MHz
[21:30:25]     ... 05 running: 1685s, GPU 96%, 40.64W, 67C, 2489MHz
[21:31:26]     ... 05 running: 1746s, GPU 96%, 62.07W, 74C, 2470MHz
[21:32:26]     ... 05 running: 1806s, GPU 96%, 62.51W, 75C, 2470MHz
[21:33:27]     ... 05 running: 1867s, GPU 96%, 61.85W, 71C, 2470MHz
[21:34:28]     ... 05 running: 1928s, GPU 96%, 62.50W, 74C, 2470MHz
[21:35:28]     ... 05 running: 1988s, GPU 96%, 41.00W, 68C, 2489MHz
[21:36:29]     ... 05 running: 2049s, GPU 96%, 38.12W, 67C, 2496MHz
[21:37:29]     ... 05 running: 2109s, GPU 96%, 38.56W, 68C, 2496MHz
[21:38:20]     ... 05 running: 2160s, GPU 96%, 39.04W, 70C, 2496MHz
[21:39:20]     ... 05 running: 2220s, GPU 96%, 39.02W, 70C, 2496MHz
[21:40:21]     ... 05 running: 2281s, GPU 96%, 64.48W, 79C, 2470MHz
[21:41:21]     ... 05 running: 2341s, GPU 96%, 66.42W, 80C, 2463MHz
[21:42:22]     ... 05 running: 2402s, GPU 96%, 39.34W, 71C, 2496MHz
[21:43:22]     ... 05 running: 2462s, GPU 96%, 65.46W, 80C, 2463MHz
[21:44:23]     ... 05 running: 2523s, GPU 96%, 65.88W, 78C, 2470MHz
[21:45:23]     ... 05 running: 2583s, GPU 96%, 63.71W, 74C, 2470MHz
[21:46:24]     ... 05 running: 2644s, GPU 96%, 63.04W, 77C, 2470MHz
[21:47:25]     ... 05 running: 2705s, GPU 96%, 38.44W, 68C, 2489MHz
[21:48:25]     ... 05 running: 2765s, GPU 96%, 63.85W, 74C, 2470MHz
[21:49:26]     ... 05 running: 2826s, GPU 96%, 62.72W, 74C, 2470MHz
[21:50:26]     ... 05 running: 2886s, GPU 96%, 62.02W, 72C, 2483MHz
[21:51:27]     ... 05 running: 2947s, GPU 96%, 63.52W, 74C, 2470MHz
[21:52:27]     ... 05 running: 3007s, GPU 96%, 63.30W, 74C, 2470MHz
[21:53:28]     ... 05 running: 3068s, GPU 96%, 63.29W, 75C, 2470MHz
[21:54:29]     ... 05 running: 3129s, GPU 96%, 64.02W, 74C, 2470MHz
[21:55:29]     ... 05 running: 3189s, GPU 96%, 63.41W, 74C, 2476MHz
[21:56:20]     ... 05 running: 3240s, GPU 96%, 64.25W, 73C, 2470MHz
[21:57:20]     ... 05 running: 3300s, GPU 96%, 62.54W, 74C, 2470MHz
[21:58:21]     ... 05 running: 3361s, GPU 96%, 63.03W, 74C, 2470MHz
[21:59:22]     ... 05 running: 3422s, GPU 96%, 41.80W, 70C, 2489MHz
[22:00:22]     ... 05 running: 3482s, GPU 96%, 62.82W, 75C, 2470MHz
[22:01:23]     ... 05 running: 3543s, GPU 96%, 64.11W, 76C, 2470MHz
[22:02:23]     ... 05 running: 3603s, GPU 96%, 65.61W, 81C, 2463MHz
[22:03:24]     ... 05 running: 3664s, GPU 96%, 65.06W, 81C, 2450MHz
[22:04:24]     ... 05 running: 3724s, GPU 96%, 42.26W, 73C, 2470MHz
[22:05:25]     ... 05 running: 3785s, GPU 96%, 63.29W, 75C, 2470MHz
[22:06:26]     ... 05 running: 3846s, GPU 96%, 64.28W, 75C, 2470MHz
[22:07:26]     ... 05 running: 3906s, GPU 96%, 63.37W, 77C, 2470MHz
[22:08:27]     ... 05 running: 3967s, GPU 96%, 63.91W, 75C, 2470MHz
[22:09:27]     ... 05 running: 4027s, GPU 96%, 40.87W, 67C, 2489MHz
[22:10:28]     ... 05 running: 4088s, GPU 96%, 38.21W, 67C, 2496MHz
[22:11:28]     ... 05 running: 4148s, GPU 96%, 39.19W, 70C, 2496MHz
[22:12:29]     ... 05 running: 4209s, GPU 96%, 65.71W, 76C, 2470MHz
[22:13:29]     ... 05 running: 4269s, GPU 96%, 64.26W, 75C, 2470MHz
[22:14:20]     ... 05 running: 4320s, GPU 96%, 38.90W, 69C, 2496MHz
[22:15:20]     ... 05 running: 4380s, GPU 96%, 64.42W, 80C, 2463MHz
[22:16:21]     ... 05 running: 4441s, GPU 96%, 64.75W, 80C, 2457MHz
[22:17:21]     ... 05 running: 4501s, GPU 96%, 65.29W, 78C, 2463MHz
[22:18:22]     ... 05 running: 4562s, GPU 96%, 63.28W, 73C, 2470MHz
[22:19:22]     ... 05 running: 4622s, GPU 96%, 65.92W, 75C, 2470MHz
[22:20:23]     ... 05 running: 4683s, GPU 96%, 63.69W, 75C, 2470MHz
[22:21:24]     ... 05 running: 4744s, GPU 96%, 54.94W, 76C, 2470MHz
[22:22:24]     ... 05 running: 4804s, GPU 96%, 63.54W, 74C, 2470MHz
[22:23:25]     ... 05 running: 4865s, GPU 96%, 64.67W, 80C, 2463MHz
[22:24:25]     ... 05 running: 4925s, GPU 96%, 67.01W, 80C, 2450MHz
[22:25:26]     ... 05 running: 4986s, GPU 96%, 39.62W, 71C, 2489MHz
[22:26:26]     ... 05 running: 5046s, GPU 96%, 66.38W, 74C, 2470MHz
[22:27:27]     ... 05 running: 5107s, GPU 96%, 64.05W, 75C, 2470MHz
[22:28:27]     ... 05 running: 5167s, GPU 96%, 62.97W, 75C, 2470MHz
[22:29:28]     ... 05 running: 5228s, GPU 96%, 38.48W, 67C, 2489MHz
[22:30:28]     ... 05 running: 5288s, GPU 96%, 62.71W, 73C, 2470MHz
[22:31:29]     ... 05 running: 5349s, GPU 96%, 64.99W, 74C, 2470MHz
[22:33:20]     ... 05 running: 5460s, GPU 96%, 65.15W, 75C, 2470MHz
[22:34:21]     ... 05 running: 5521s, GPU 96%, 63.19W, 75C, 2470MHz
[22:35:21]     ... 05 running: 5581s, GPU 96%, 64.59W, 77C, 2470MHz
[22:36:22]     ... 05 running: 5642s, GPU 96%, 41.38W, 68C, 2489MHz
[22:37:22]     ... 05 running: 5702s, GPU 96%, 66.53W, 75C, 2470MHz
