
════════ nieuwe sessie 2026-08-12T03:04:56+02:00 ════════
[03:04:56] === bench-spark run ===
[03:04:56] Profile: muse-glimmer-30b-bf16
[03:04:56] Tests:   01 02 03 04 05 06 07 08 09 10 11
[03:04:56] Results: /home/eugene/benchmarks/bench-spark/results/muse-glimmer-30b/bf16
[03:05:02] Sanity-check op modeloutput...
[03:06:00] SANITY: OK, model antwoordt: 1, 2, 3, 4, 5 Tel van 1 tot 5. Tel van 1 tot 5. Dutch: Count from 1 to
[03:06:00] ── START 01 ──
[05:13:01]     ... 03 running: 2345s, GPU 96%, 44.34W, 70C, 2496MHz
[05:14:01]     ... 03 running: 2405s, GPU 96%, 44.09W, 70C, 2496MHz
[05:15:02]     ... 03 running: 2466s, GPU 96%, 44.15W, 70C, 2496MHz
[05:16:02]     ... 03 running: 2526s, GPU 96%, 43.69W, 70C, 2496MHz
[05:17:02]     ... 03 running: 2586s, GPU 96%, 44.12W, 70C, 2496MHz
[05:18:03]     ... 03 running: 2647s, GPU 96%, 44.14W, 70C, 2496MHz
[05:19:03]     ... 03 running: 2707s, GPU 96%, 44.22W, 70C, 2496MHz
[05:20:04]     ... 03 running: 2768s, GPU 96%, 44.25W, 70C, 2496MHz
[05:21:04]     ... 03 running: 2828s, GPU 96%, 44.31W, 70C, 2496MHz
[05:22:04]     ... 03 running: 2888s, GPU 96%, 44.24W, 70C, 2496MHz
[05:23:05]     ... 03 running: 2949s, GPU 96%, 44.56W, 71C, 2496MHz
[05:24:05]     ... 03 running: 3009s, GPU 96%, 44.37W, 70C, 2496MHz
[05:25:05]     ... 03 running: 3069s, GPU 96%, 44.50W, 70C, 2496MHz
[05:25:56]     ... 03 running: 3120s, GPU 96%, 44.40W, 70C, 2496MHz
[05:26:56]     ... 03 running: 3180s, GPU 96%, 44.39W, 70C, 2496MHz
[05:27:57]     ... 03 running: 3241s, GPU 96%, 44.35W, 70C, 2496MHz
[05:28:57]     ... 03 running: 3301s, GPU 96%, 44.33W, 70C, 2496MHz
[05:29:57]     ... 03 running: 3361s, GPU 96%, 39.21W, 65C, 2483MHz
[05:30:58]     ... 03 running: 3422s, GPU 96%, 38.77W, 63C, 2483MHz
[05:31:58]     ... 03 running: 3482s, GPU 96%, 38.82W, 62C, 2502MHz
[05:32:59]     ... 03 running: 3543s, GPU 96%, 38.85W, 61C, 2502MHz
[05:33:59]     ... 03 running: 3603s, GPU 96%, 38.41W, 60C, 2509MHz
[05:34:59]     ... 03 running: 3663s, GPU 96%, 39.15W, 60C, 2502MHz
[05:36:00]     ... 03 running: 3724s, GPU 96%, 39.40W, 60C, 2502MHz
[05:37:00]     ... 03 running: 3784s, GPU 96%, 39.42W, 60C, 2502MHz
