[19:58:53] === bench-spark run ===
[19:58:53] Profile: qwen3.6-27b-bf16
[19:58:53] Tests:   01 02 03 04 05 06 07 08 09 10 11
[19:58:53] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.6-27b/bf16
[19:58:59] Sanity-check op modeloutput...
[19:59:55] SANITY: OK, model antwoordt: 1. één 2. twee 3. drie 4. vier 5. vijf We need to count from 1 to 5 in
[19:59:55] ── START 01 ──
[21:48:14]     ... 03 running: 905s, GPU 96%, 50.18W, 68C, 2496MHz
[21:49:15]     ... 03 running: 966s, GPU 96%, 50.21W, 68C, 2496MHz
[21:50:15]     ... 03 running: 1026s, GPU 96%, 50.21W, 68C, 2496MHz
[21:51:15]     ... 03 running: 1086s, GPU 96%, 50.19W, 68C, 2496MHz
[21:52:16]     ... 03 running: 1147s, GPU 96%, 50.30W, 68C, 2496MHz
[21:53:16]     ... 03 running: 1207s, GPU 96%, 50.20W, 68C, 2496MHz
[21:54:16]     ... 03 running: 1267s, GPU 96%, 50.08W, 68C, 2496MHz
[21:55:17]     ... 03 running: 1328s, GPU 96%, 50.20W, 68C, 2496MHz
[21:56:17]     ... 03 running: 1388s, GPU 96%, 50.18W, 68C, 2496MHz
[21:57:18]     ... 03 running: 1449s, GPU 96%, 50.13W, 68C, 2496MHz
[21:58:18]     ... 03 running: 1509s, GPU 96%, 50.14W, 67C, 2496MHz
[21:59:18]     ... 03 running: 1569s, GPU 96%, 50.19W, 68C, 2496MHz
[22:00:09]     ... 03 running: 1620s, GPU 96%, 50.18W, 68C, 2496MHz
[22:01:09]     ... 03 running: 1680s, GPU 96%, 50.26W, 68C, 2496MHz
[22:02:09]     ... 03 running: 1740s, GPU 96%, 50.19W, 68C, 2496MHz
[22:03:10]     ... 03 running: 1801s, GPU 96%, 50.10W, 68C, 2496MHz
[22:04:10]     ... 03 running: 1861s, GPU 96%, 50.17W, 67C, 2496MHz
[22:05:10]     ... 03 running: 1921s, GPU 96%, 50.15W, 68C, 2496MHz
[22:06:11]     ... 03 running: 1982s, GPU 96%, 50.16W, 68C, 2496MHz
[22:07:11]     ... 03 running: 2042s, GPU 96%, 50.13W, 68C, 2496MHz
[22:08:11]     ... 03 running: 2102s, GPU 96%, 50.13W, 68C, 2496MHz
[22:09:12]     ... 03 running: 2163s, GPU 96%, 50.11W, 67C, 2496MHz
[22:10:12]     ... 03 running: 2223s, GPU 96%, 50.16W, 68C, 2496MHz
[22:11:13]     ... 03 running: 2284s, GPU 96%, 39.10W, 66C, 2489MHz
[22:12:13]     ... 03 running: 2344s, GPU 96%, 39.96W, 69C, 2489MHz
[22:13:13]     ... 03 running: 2404s, GPU 96%, 40.36W, 71C, 2489MHz
[22:14:14]     ... 03 running: 2465s, GPU 96%, 40.72W, 72C, 2489MHz
[22:15:14]     ... 03 running: 2525s, GPU 96%, 39.51W, 72C, 2489MHz
[22:16:15]     ... 03 running: 2586s, GPU 96%, 39.63W, 73C, 2489MHz
[22:17:15]     ... 03 running: 2646s, GPU 96%, 39.25W, 73C, 2470MHz
[22:18:15]     ... 03 running: 2706s, GPU 96%, 38.66W, 73C, 2470MHz
[22:19:16]     ... 03 running: 2767s, GPU 96%, 38.75W, 73C, 2470MHz
[22:20:16]     ... 03 running: 2827s, GPU 96%, 38.79W, 73C, 2470MHz
[22:21:17]     ... 03 running: 2888s, GPU 96%, 38.85W, 73C, 2470MHz
[22:22:17]     ... 03 running: 2948s, GPU 96%, 38.35W, 73C, 2470MHz
[22:23:18]     ... 03 running: 3009s, GPU 96%, 51.99W, 74C, 2470MHz
[22:24:18]     ... 03 running: 3069s, GPU 96%, 52.03W, 74C, 2470MHz
[22:25:18]     ... 03 running: 3129s, GPU 96%, 52.16W, 75C, 2470MHz
[22:26:09]     ... 03 running: 3180s, GPU 96%, 40.58W, 72C, 2470MHz
[22:27:09]     ... 03 running: 3240s, GPU 96%, 40.22W, 70C, 2489MHz
[22:28:09]     ... 03 running: 3300s, GPU 96%, 39.91W, 69C, 2489MHz
