[14:16:30] === bench-spark run ===
[14:16:30] Profile: muse-glimmer-30b-bf16-spec
[14:16:30] Tests:   01 02 03 04 05 06 07 08 09 10 11
[14:16:30] Results: /home/eugene/benchmarks/bench-spark/results/muse-glimmer-30b/bf16-spec
[14:16:38] Sanity-check op modeloutput...
[14:17:00] SANITY: OK, model antwoordt: 1, 2, 3, 4, Tel van 1 tot 5. Tel van 1 tot 5. Dutch: Count from 1 to 5
[14:17:00] ── START 01 ──
[15:57:04]     ... 03 running: 3121s, GPU 96%, 58.92W, 75C, 2463MHz
[15:58:05]     ... 03 running: 3182s, GPU 96%, 43.37W, 70C, 2483MHz
[15:59:05]     ... 03 running: 3242s, GPU 96%, 61.87W, 75C, 2470MHz
[16:00:06]     ... 03 running: 3303s, GPU 96%, 62.66W, 76C, 2470MHz
[16:01:06]     ... 03 running: 3363s, GPU 96%, 63.60W, 76C, 2470MHz
[16:02:06]     ... 03 running: 3423s, GPU 96%, 58.33W, 75C, 2463MHz
[16:03:07]     ... 03 running: 3484s, GPU 96%, 54.28W, 73C, 2463MHz
[16:04:07]     ... 03 running: 3544s, GPU 96%, 43.40W, 70C, 2483MHz
[16:05:08]     ... 03 running: 3605s, GPU 96%, 67.57W, 77C, 2470MHz
[16:06:08]     ... 03 running: 3665s, GPU 96%, 63.15W, 76C, 2470MHz
[16:07:08]     ... 03 running: 3725s, GPU 96%, 63.84W, 76C, 2470MHz
[16:08:09]     ... 03 running: 3786s, GPU 96%, 56.14W, 74C, 2463MHz
[16:09:09]     ... 03 running: 3846s, GPU 96%, 54.17W, 73C, 2463MHz
[16:10:10]     ... 03 running: 3907s, GPU 96%, 53.59W, 72C, 2470MHz
[16:10:25] ── END 03 (3922s) ──
[16:10:25] ── START 04 ──
[16:11:25]     ... 04 running: 60s, GPU 96%, 42.51W, 68C, 2483MHz
[16:12:25]     ... 04 running: 120s, GPU 96%, 97.34W, 75C, 2392MHz
[16:13:26]     ... 04 running: 181s, GPU 96%, 42.28W, 67C, 2483MHz
[16:14:26]     ... 04 running: 241s, GPU 96%, 53.19W, 70C, 2483MHz
[16:15:27]     ... 04 running: 302s, GPU 96%, 53.31W, 71C, 2463MHz
[16:16:27]     ... 04 running: 362s, GPU 96%, 53.45W, 72C, 2463MHz
[16:17:27]     ... 04 running: 422s, GPU 96%, 42.55W, 68C, 2483MHz
[16:18:28]     ... 04 running: 483s, GPU 96%, 52.79W, 71C, 2489MHz
[16:19:28]     ... 04 running: 543s, GPU 96%, 57.20W, 71C, 2483MHz
[16:20:29]     ... 04 running: 604s, GPU 96%, 67.26W, 73C, 2470MHz
[16:21:29]     ... 04 running: 664s, GPU 96%, 92.14W, 76C, 2314MHz
[16:22:29]     ... 04 running: 724s, GPU 96%, 51.76W, 69C, 2489MHz
[16:23:30]     ... 04 running: 785s, GPU 96%, 62.27W, 72C, 2470MHz
[16:24:18] ── END 04 (833s) ──
[16:24:18] ── START 05 ──
[16:25:19]     ... 05 running: 61s, GPU 96%, 42.46W, 67C, 2483MHz
[16:26:19]     ... 05 running: 121s, GPU 96%, 42.33W, 67C, 2483MHz
[16:27:19]     ... 05 running: 181s, GPU 96%, 93.20W, 79C, 2340MHz
[16:28:20]     ... 05 running: 242s, GPU 96%, 54.12W, 73C, 2463MHz
[16:29:20]     ... 05 running: 302s, GPU 96%, 53.38W, 70C, 2483MHz
[16:30:20]     ... 05 running: 362s, GPU 96%, 64.65W, 73C, 2470MHz
[16:31:21]     ... 05 running: 423s, GPU 96%, 63.05W, 73C, 2470MHz
[16:32:21]     ... 05 running: 483s, GPU 96%, 68.37W, 74C, 2463MHz
[16:33:21]     ... 05 running: 543s, GPU 96%, 68.41W, 75C, 2470MHz
[16:34:22]     ... 05 running: 604s, GPU 96%, 42.22W, 66C, 2483MHz
[16:35:22]     ... 05 running: 664s, GPU 96%, 42.15W, 66C, 2483MHz
[16:36:23]     ... 05 running: 725s, GPU 96%, 86.65W, 76C, 2294MHz
[16:37:23]     ... 05 running: 785s, GPU 96%, 92.15W, 77C, 2359MHz
[16:38:23]     ... 05 running: 845s, GPU 96%, 91.72W, 77C, 2307MHz
[16:39:24]     ... 05 running: 906s, GPU 96%, 91.74W, 77C, 2301MHz
[16:40:24]     ... 05 running: 966s, GPU 96%, 69.24W, 75C, 2470MHz
[16:41:24]     ... 05 running: 1026s, GPU 96%, 90.54W, 81C, 2262MHz
[16:42:25]     ... 05 running: 1087s, GPU 96%, 91.17W, 80C, 2255MHz
[16:43:25]     ... 05 running: 1147s, GPU 96%, 63.03W, 75C, 2470MHz
[16:44:25]     ... 05 running: 1207s, GPU 96%, 70.03W, 78C, 2470MHz
[16:45:26]     ... 05 running: 1268s, GPU 96%, 43.40W, 69C, 2483MHz
[16:46:26]     ... 05 running: 1328s, GPU 96%, 43.16W, 68C, 2483MHz
[16:47:26]     ... 05 running: 1388s, GPU 96%, 95.45W, 76C, 2353MHz
[16:48:27]     ... 05 running: 1449s, GPU 96%, 55.26W, 72C, 2463MHz
[16:49:27]     ... 05 running: 1509s, GPU 96%, 89.12W, 80C, 2262MHz
[16:50:27]     ... 05 running: 1569s, GPU 96%, 91.55W, 79C, 2294MHz
[16:51:18]     ... 05 running: 1620s, GPU 96%, 55.77W, 73C, 2463MHz
[16:52:18]     ... 05 running: 1680s, GPU 96%, 91.18W, 80C, 2281MHz
[16:53:18]     ... 05 running: 1740s, GPU 96%, 91.45W, 79C, 2294MHz
[16:54:18]     ... 05 running: 1800s, GPU 96%, 89.37W, 82C, 2249MHz
[16:55:19]     ... 05 running: 1861s, GPU 96%, 44.18W, 71C, 2483MHz
[16:56:19]     ... 05 running: 1921s, GPU 96%, 90.23W, 81C, 2255MHz
[16:57:19]     ... 05 running: 1981s, GPU 96%, 71.32W, 77C, 2470MHz
[16:58:20]     ... 05 running: 2042s, GPU 96%, 89.09W, 82C, 2268MHz
[16:59:20]     ... 05 running: 2102s, GPU 96%, 92.92W, 82C, 2288MHz
[17:00:20]     ... 05 running: 2162s, GPU 96%, 92.00W, 81C, 2307MHz
[17:01:21]     ... 05 running: 2223s, GPU 96%, 92.38W, 83C, 2281MHz
[17:02:21]     ... 05 running: 2283s, GPU 96%, 91.28W, 81C, 2307MHz
[17:03:21]     ... 05 running: 2343s, GPU 96%, 44.12W, 70C, 2483MHz
[17:04:22]     ... 05 running: 2404s, GPU 96%, 43.05W, 67C, 2483MHz
[17:05:22]     ... 05 running: 2464s, GPU 96%, 91.70W, 77C, 2288MHz
[17:06:22]     ... 05 running: 2524s, GPU 96%, 94.12W, 82C, 2288MHz
[17:07:23]     ... 05 running: 2585s, GPU 96%, 92.75W, 80C, 2314MHz
[17:08:23]     ... 05 running: 2645s, GPU 96%, 57.93W, 76C, 2463MHz
[17:09:23]     ... 05 running: 2705s, GPU 96%, 90.24W, 81C, 2275MHz
[17:10:24]     ... 05 running: 2766s, GPU 96%, 57.69W, 74C, 2463MHz
[17:11:24]     ... 05 running: 2826s, GPU 96%, 91.31W, 81C, 2307MHz
[17:12:24]     ... 05 running: 2886s, GPU 96%, 57.41W, 75C, 2463MHz
[17:13:25]     ... 05 running: 2947s, GPU 96%, 89.11W, 81C, 2255MHz
[17:14:25]     ... 05 running: 3007s, GPU 96%, 90.74W, 84C, 2307MHz
[17:15:25]     ... 05 running: 3067s, GPU 96%, 73.10W, 79C, 2463MHz
[17:16:25]     ... 05 running: 3127s, GPU 96%, 91.15W, 80C, 2275MHz
[17:17:26]     ... 05 running: 3188s, GPU 96%, 88.89W, 82C, 2242MHz
[17:18:26]     ... 05 running: 3248s, GPU 96%, 90.43W, 83C, 2281MHz
[17:19:26]     ... 05 running: 3308s, GPU 96%, 91.94W, 81C, 2379MHz
[17:20:27]     ... 05 running: 3369s, GPU 96%, 88.81W, 82C, 2249MHz
[17:21:27]     ... 05 running: 3429s, GPU 96%, 88.28W, 83C, 2242MHz
[17:22:27]     ... 05 running: 3489s, GPU 96%, 56.68W, 76C, 2470MHz
[17:23:18]     ... 05 running: 3540s, GPU 96%, 91.07W, 83C, 2281MHz
[17:24:18]     ... 05 running: 3600s, GPU 96%, 88.83W, 82C, 2268MHz
[17:25:18]     ... 05 running: 3660s, GPU 96%, 73.47W, 80C, 2463MHz
[17:25:52] ── END 05 (3694s) ──
[17:25:52] ── START 06 ──
[17:26:52]     ... 06 running: 60s, GPU 96%, 88.80W, 82C, 2262MHz
[17:27:52]     ... 06 running: 120s, GPU 96%, 91.25W, 83C, 2301MHz
[17:28:52]     ... 06 running: 180s, GPU 96%, 89.44W, 83C, 2255MHz
[17:29:53]     ... 06 running: 241s, GPU 96%, 88.27W, 83C, 2262MHz
[17:30:53]     ... 06 running: 301s, GPU 96%, 89.19W, 84C, 2249MHz
[17:31:53]     ... 06 running: 361s, GPU 96%, 77.19W, 77C, 2457MHz
[17:32:54]     ... 06 running: 422s, GPU 96%, 87.56W, 82C, 2242MHz
[17:33:54]     ... 06 running: 482s, GPU 96%, 92.49W, 84C, 2275MHz
[17:34:54]     ... 06 running: 542s, GPU 96%, 87.69W, 83C, 2223MHz
[17:35:55]     ... 06 running: 603s, GPU 96%, 87.13W, 83C, 2242MHz
[17:36:55]     ... 06 running: 663s, GPU 96%, 88.90W, 84C, 2242MHz
[17:37:55]     ... 06 running: 723s, GPU 96%, 79.75W, 83C, 2450MHz
[17:38:56]     ... 06 running: 784s, GPU 96%, 89.93W, 82C, 2255MHz
[17:39:56]     ... 06 running: 844s, GPU 96%, 90.61W, 83C, 2288MHz
[17:40:56]     ... 06 running: 904s, GPU 96%, 90.17W, 84C, 2281MHz
[17:41:56]     ... 06 running: 964s, GPU 96%, 87.69W, 83C, 2242MHz
[17:42:57]     ... 06 running: 1025s, GPU 96%, 92.23W, 84C, 2281MHz
[17:43:57]     ... 06 running: 1085s, GPU 96%, 87.54W, 84C, 2223MHz
[17:44:57]     ... 06 running: 1145s, GPU 96%, 56.20W, 76C, 2463MHz
[17:45:58]     ... 06 running: 1206s, GPU 96%, 92.65W, 83C, 2281MHz
[17:46:58]     ... 06 running: 1266s, GPU 96%, 88.30W, 84C, 2229MHz
[17:47:58]     ... 06 running: 1326s, GPU 96%, 89.60W, 84C, 2333MHz
[17:48:59]     ... 06 running: 1387s, GPU 96%, 88.60W, 84C, 2255MHz
[17:49:59]     ... 06 running: 1447s, GPU 96%, 90.39W, 83C, 2385MHz
[17:50:59]     ... 06 running: 1507s, GPU 96%, 77.07W, 78C, 2463MHz
[17:51:20] ── END 06 (1528s) ──
[17:51:20] ── START 07 ──
[17:52:20]     ... 07 running: 60s, GPU 96%, 95.50W, 80C, 2327MHz
[17:53:20]     ... 07 running: 120s, GPU 96%, 90.57W, 83C, 2333MHz
[17:54:21]     ... 07 running: 181s, GPU 96%, 87.64W, 79C, 2307MHz
[17:55:21]     ... 07 running: 241s, GPU 96%, 87.92W, 79C, 2307MHz
[17:56:21]     ... 07 running: 301s, GPU 96%, 88.99W, 77C, 2379MHz
[17:57:21]     ... 07 running: 361s, GPU 96%, 88.61W, 77C, 2366MHz
[17:58:22]     ... 07 running: 422s, GPU 96%, 88.64W, 80C, 2366MHz
[17:59:22]     ... 07 running: 482s, GPU 96%, 88.51W, 78C, 2372MHz
[18:00:22]     ... 07 running: 542s, GPU 96%, 82.13W, 80C, 2457MHz
[18:01:23]     ... 07 running: 603s, GPU 96%, 85.54W, 81C, 2353MHz
[18:02:23]     ... 07 running: 663s, GPU 96%, 85.67W, 79C, 2340MHz
[18:03:23]     ... 07 running: 723s, GPU 96%, 86.01W, 81C, 2366MHz
[18:04:24]     ... 07 running: 784s, GPU 96%, 85.60W, 78C, 2372MHz
[18:05:24]     ... 07 running: 844s, GPU 96%, 84.27W, 79C, 2398MHz
[18:06:24]     ... 07 running: 904s, GPU 96%, 85.28W, 81C, 2398MHz
[18:07:25]     ... 07 running: 965s, GPU 96%, 75.75W, 83C, 2450MHz
[18:08:25]     ... 07 running: 1025s, GPU 96%, 82.55W, 80C, 2431MHz
[18:09:25]     ... 07 running: 1085s, GPU 96%, 75.67W, 77C, 2450MHz
[18:10:26]     ... 07 running: 1146s, GPU 96%, 72.34W, 80C, 2424MHz
[18:11:26]     ... 07 running: 1206s, GPU 96%, 74.64W, 80C, 2450MHz
[18:12:27]     ... 07 running: 1267s, GPU 96%, 74.14W, 76C, 2450MHz
[18:13:27]     ... 07 running: 1327s, GPU 96%, 76.58W, 81C, 2450MHz
[18:14:27]     ... 07 running: 1387s, GPU 96%, 74.96W, 81C, 2444MHz
[18:15:28]     ... 07 running: 1448s, GPU 96%, 73.85W, 77C, 2450MHz
[18:16:28]     ... 07 running: 1508s, GPU 96%, 77.28W, 80C, 2444MHz
[18:17:28]     ... 07 running: 1568s, GPU 96%, 75.71W, 79C, 2450MHz
[18:18:29]     ... 07 running: 1629s, GPU 96%, 73.52W, 77C, 2463MHz
[18:19:29]     ... 07 running: 1689s, GPU 96%, 74.68W, 76C, 2457MHz
[18:20:20]     ... 07 running: 1740s, GPU 96%, 74.89W, 80C, 2457MHz
[18:21:20]     ... 07 running: 1800s, GPU 96%, 76.53W, 75C, 2450MHz
[18:22:20]     ... 07 running: 1860s, GPU 96%, 72.08W, 80C, 2450MHz
[18:23:21]     ... 07 running: 1921s, GPU 96%, 72.22W, 75C, 2457MHz
