[22:47:23] === bench-spark run ===
[22:47:23] Profile: dense-31b
[22:47:23] Tests:   A B C D E F G H I J
[22:47:23] Results: /home/spark/benchmarks/bench-spark/results/gemma-4-31b-it/no-prefix-cache
[22:47:23] ── START A ──
[02:59:39] ── END E (1223s) ──
[02:59:39] ── START F ──
[03:00:39]     ... F running: 60s, GPU 96%
[03:01:39]     ... F running: 120s, GPU 96%
[03:02:39]     ... F running: 180s, GPU 96%
[03:03:39]     ... F running: 240s, GPU 96%
[03:04:39]     ... F running: 300s, GPU 96%
[03:05:39]     ... F running: 360s, GPU 96%
[03:06:39]     ... F running: 420s, GPU 96%
[03:07:39]     ... F running: 480s, GPU 96%
[03:08:39]     ... F running: 540s, GPU 96%
[03:09:39]     ... F running: 600s, GPU 96%
[03:10:39]     ... F running: 660s, GPU 96%
[03:11:39]     ... F running: 720s, GPU 96%
[03:12:40]     ... F running: 781s, GPU 96%
[03:13:40]     ... F running: 841s, GPU 96%
[03:14:40]     ... F running: 901s, GPU 96%
[03:15:40]     ... F running: 961s, GPU 96%
[03:16:40]     ... F running: 1021s, GPU 96%
[03:17:40]     ... F running: 1081s, GPU 96%
[03:18:40]     ... F running: 1141s, GPU 96%
[03:19:40]     ... F running: 1201s, GPU 96%
[03:20:40]     ... F running: 1261s, GPU 96%
[03:21:40]     ... F running: 1321s, GPU 96%
[03:22:40]     ... F running: 1381s, GPU 96%
[03:23:40]     ... F running: 1441s, GPU 96%
[03:24:40]     ... F running: 1501s, GPU 96%
[03:25:40]     ... F running: 1561s, GPU 96%
[03:26:40]     ... F running: 1621s, GPU 96%
[03:27:40]     ... F running: 1681s, GPU 96%
[03:28:40]     ... F running: 1741s, GPU 96%
[03:29:40]     ... F running: 1801s, GPU 96%
[03:30:40]     ... F running: 1861s, GPU 96%
[03:31:40]     ... F running: 1921s, GPU 96%
[03:32:40]     ... F running: 1981s, GPU 96%
[03:33:41]     ... F running: 2042s, GPU 96%
[03:34:41]     ... F running: 2102s, GPU 96%
[03:35:41]     ... F running: 2162s, GPU 96%
[03:36:36] ── END F (2217s) ──
[03:36:36] ── START G ──
[03:37:36]     ... G running: 60s, GPU 96%
[03:38:36]     ... G running: 120s, GPU 96%
[03:39:36]     ... G running: 180s, GPU 96%
[03:40:36]     ... G running: 240s, GPU 96%
[03:41:36]     ... G running: 300s, GPU 96%
[03:42:36]     ... G running: 360s, GPU 96%
[03:43:36]     ... G running: 420s, GPU 96%
[03:44:36]     ... G running: 480s, GPU 96%
[03:45:36]     ... G running: 540s, GPU 96%
[03:46:36]     ... G running: 600s, GPU 96%
[03:47:36]     ... G running: 660s, GPU 96%
[03:48:36]     ... G running: 720s, GPU 96%
[03:49:36]     ... G running: 780s, GPU 96%
[03:50:36]     ... G running: 840s, GPU 96%
[03:51:37]     ... G running: 901s, GPU 96%
[03:52:37]     ... G running: 961s, GPU 96%
[03:53:37]     ... G running: 1021s, GPU 96%
[03:54:18] ── END G (1062s) ──
[03:54:18] ── START H ──
[03:55:19]     ... H running: 61s, GPU 96%
[03:56:19]     ... H running: 121s, GPU 96%
[03:57:19]     ... H running: 181s, GPU 96%
[03:58:19]     ... H running: 241s, GPU 96%
[03:59:19]     ... H running: 301s, GPU 96%
[04:00:19]     ... H running: 361s, GPU 96%
[04:01:19]     ... H running: 421s, GPU 96%
[04:02:19]     ... H running: 481s, GPU 96%
